,Year,Player,Team,CapHit,CashSpent,BaseSalaryCap,PercentHit
0,2026,Ezekiel Elliott,Cowboys,16600000,16600000,,
1,2025,Alvin Kamara,Saints,25000000,25000000,,
2,2025,Ezekiel Elliott,Cowboys,15400000,15400000,,
3,2025,Dalvin Cook,Vikings,13500000,13500000,,
4,2025,Christian McCaffrey,Panthers,12200000,12200000,,
5,2024,Christian McCaffrey,Panthers,16300000,12000000,256000000,0.063671875
6,2024,Dalvin Cook,Vikings,15601273,12500000,256000000,0.06094247265625
7,2024,Alvin Kamara,Saints,14800000,11800000,256000000,0.0578125
8,2024,Joe Mixon,Bengals,13133205,10383205,256000000,0.05130158203125
9,2024,Ezekiel Elliott,Cowboys,12600000,10000000,256000000,0.04921875
10,2023,Christian McCaffrey,Panthers,16300000,12000000,241000000,0.06763485477178423
11,2023,Derrick Henry,Titans,15500000,12500000,241000000,0.06431535269709543
12,2023,Ezekiel Elliott,Cowboys,15000000,10900000,241000000,0.06224066390041494
13,2023,Dalvin Cook,Vikings,14101272,11000000,241000000,0.0585115020746888
14,2023,Alvin Kamara,Saints,14000000,11000000,241000000,0.058091286307053944
15,2023,Joe Mixon,Bengals,12850000,10100000,241000000,0.053319502074688795
16,2023,Tarik Cohen,Bears,7500000,5750000,241000000,0.03112033195020747
17,2023,Austin Ekeler,Chargers,7250000,5750000,241000000,0.03008298755186722
18,2023,Clyde Edwards-Helaire,Chiefs,3443229,0,241000000,0.014287257261410788
19,2023,D'Andre Swift,Lions,2716929,1774399,241000000,0.011273564315352697
20,2023,Jonathan Taylor,Colts,2491095,1677613,241000000,0.01033649377593361
21,2023,Cam Akers,Rams,1964150,1451779,241000000,0.00815
22,2023,J.K. Dobbins,Ravens,1823003,1391287,241000000,0.0075643278008298755
23,2023,A.J. Dillon,Packers,1681855,1330795,241000000,0.006978651452282158
24,2023,Antonio Gibson,Washington,1569476,1282633,241000000,0.006512348547717843
25,2023,Ke'Shawn Vaughn,Buccaneers,1465713,1210986,241000000,0.006081796680497925
26,2023,Zack Moss,Bills,1397865,1169260,241000000,0.005800269709543568
27,2023,Darrynton Evans,Titans,1347116,1127700,241000000,0.0055896929460580915
28,2023,Joshua Kelley,Chargers,1205086,1010000,241000000,0.005000356846473029
29,2023,La'Mical Perine,Jets,1196336,1010000,241000000,0.0049640497925311205
30,2023,"Anthony McFarland, Jr.",Steelers,1190608,1010000,241000000,0.004940282157676348
31,2023,Lynn Bowden,Dolphins,1189000,1189000,241000000,0.004933609958506224
32,2023,DeeJay Dallas,Seahawks,1133600,1010000,241000000,0.004703734439834025
33,2023,Eno Benjamin,Cardinals,1035679,1010000,241000000,0.004297423236514523
34,2023,Jason Huntley,Eagles,1010000,1010000,241000000,0.004190871369294606
35,2022,Ezekiel Elliott,Cowboys,16500000,12400000,227500000,0.07252747252747253
36,2022,Derrick Henry,Titans,15000000,12000000,227500000,0.06593406593406594
