,year,playername,team,age,g,gs,attempts,yards,tds,longgain,yardsperatt,yardspergame,fumbles,basesalarycap (10^8),Percenthit (%),caphit (M),cashspent (M)
987,2020,Aaron Jones,GNB,26,5,5,75,389,5,75,5.2,77.8,1,1.982,1.100909182643794,2.182002,2.133
988,2019,Aaron Jones,GNB,25,16,16,236,1084,16,56,4.6,67.8,3,1.882,0.36954675876726895,0.695487,0.645
989,2018,Aaron Jones,GNB,24,12,8,133,728,8,67,5.5,60.7,1,1.772,0.2930976297968397,0.519369,0.468882
990,2017,Aaron Jones,GNB,23,12,4,81,448,4,46,5.5,37.3,0,1.67,0.3086748502994012,0.515487,0.666948
1384,2020,Adrian Peterson,DET,35,6,4,80,314,2,27,3.9,52.3,0,1.982,0.5297679112008072,1.05,1.05
1385,2019,Adrian Peterson,WAS,34,15,15,211,898,5,32,4.3,59.9,3,1.882,0.9458023379383637,1.78,2.53
1386,2018,Adrian Peterson,WAS,33,16,16,251,1042,7,90,4.2,65.1,3,1.772,0.35553047404063204,0.63,1.015
1387,2017,Adrian Peterson,2TM,32,10,7,156,529,2,27,3.4,52.9,3,1.67,0.4226838323353293,0.705882,0.705882
1388,2016,Adrian Peterson,MIN,31,3,3,37,72,0,13,1.9,24.0,1,1.5527,7.728472982546533,12.0,12.0
1389,2015,Adrian Peterson,MIN,30,16,16,327,1485,11,80,4.5,92.8,7,1.4328,10.748185371300947,15.4,13.0
1390,2014,Adrian Peterson,MIN,29,1,1,21,75,0,17,3.6,75.0,0,1.33,9.268023308270676,12.326471,9.926471
1391,2013,Adrian Peterson,MIN,28,14,14,279,1266,10,78,4.5,90.4,5,1.23,11.30081300813008,13.9,11.5
1392,2012,Adrian Peterson,MIN,27,16,16,348,2097,12,82,6.0,131.1,4,1.206,10.534825870646767,12.705,8.0
1393,2011,Adrian Peterson,MIN,26,12,12,208,970,12,54,4.7,80.8,1,1.2,10.5875,12.705,20.25
1395,2009,Adrian Peterson,MIN,24,16,15,314,1383,18,64,4.4,86.4,7,1.23,2.284552845528456,2.81,0.755
1396,2008,Adrian Peterson,MIN,23,16,15,363,1760,10,67,4.8,110.0,9,1.16,2.0905172413793105,2.425,8.145
1397,2007,Adrian Peterson,MIN,22,14,9,238,1341,12,73,5.6,95.8,4,1.09,1.8715596330275233,2.04,6.99
242,2015,Ahmad Bradshaw,IND,29,6,0,31,85,0,23,2.7,14.2,0,1.4328,0.23955541596873253,0.343235,0.487059
243,2014,Ahmad Bradshaw,IND,28,10,1,90,425,2,29,4.7,42.5,3,1.33,0.365678947368421,0.486353,0.702529
244,2013,Ahmad Bradshaw,IND,27,3,2,41,186,2,27,4.5,62.0,0,1.23,1.559959349593496,1.91875,1.471875
245,2012,Ahmad Bradshaw,NYG,26,14,12,221,1015,6,37,4.6,72.5,3,1.206,3.7313432835820883,4.5,3.25
246,2011,Ahmad Bradshaw,NYG,25,12,9,171,659,9,37,3.9,54.9,1,1.2,2.291666666666666,2.75,6.5
248,2009,Ahmad Bradshaw,NYG,23,15,1,163,778,7,38,4.8,51.9,3,1.23,0.38144796747967474,0.469181,0.46
249,2008,Ahmad Bradshaw,NYG,22,15,0,67,355,1,77,5.3,23.7,3,1.16,0.3268801724137931,0.379181,0.37
250,2007,Ahmad Bradshaw,NYG,21,12,0,23,190,1,88,8.3,15.8,2,1.09,0.2698908256880734,0.294181,0.321725
365,2018,Alex Collins,BAL,24,10,10,114,411,7,19,3.6,41.1,3,1.772,0.35553047404063204,0.63,0.63
366,2017,Alex Collins,BAL,23,15,12,212,973,6,50,4.6,64.9,4,1.67,0.3043323353293413,0.508235,0.508235
367,2016,Alex Collins,SEA,22,11,0,31,125,1,26,4.0,11.4,2,1.5527,0.319505377729117,0.496096,0.634384
1170,2020,Alexander Mattison,MIN,22,6,1,54,245,1,25,4.5,40.8,0,1.982,0.44427093844601406,0.880545,0.675
1171,2019,Alexander Mattison,MIN,21,13,0,100,462,1,35,4.6,35.5,1,1.882,0.37223432518597244,0.700545,1.31718
231,2018,Alfred Blue,HOU,27,16,2,150,499,2,17,3.3,31.2,0,1.772,0.40632054176072224,0.72,0.88
232,2017,Alfred Blue,HOU,26,11,0,71,262,1,48,3.7,23.8,0,1.67,0.43082814371257494,0.719483,0.69
233,2016,Alfred Blue,HOU,25,14,2,100,420,1,25,4.2,30.0,2,1.5527,0.40541186320602823,0.629483,0.6
