,playerid,playername,pos
0,AAbduRa00,Rabih Abdullah,rb
1,AAlleAn01,Anthony Allen,rb
2,AAlleAr00,Armando Allen,rb
3,AAndeDa00,Damien Anderson ,rb
4,AArchDr00,Dri Archer,rb
5,AArchMi00,Mike Archie,rb
6,AArmsRy00,Ryquell Armstead,rb
7,AArtiCa00,Cameron Artis-Payne,rb
8,AAskaJo00,Joe Aska,rb
9,AAverJo00,John Avery,rb
10,BBailJo00,Johnny Bailey,rb
11,BBakeEd01,Edwin Baker,rb
12,BBaldRa00,Randy Baldwin,rb
13,BBallLa00,Lance Ball,rb
14,BBallMo00,Montee Ball,rb
15,BBankTa00,Tavian Banks,rb
16,BBanyJo00,Joe Banyard,rb
17,BBarnKe00,Kenjon Barner,rb
18,BBasnMi00,Michael Basnight,rb
19,BBatcBa00,Baron Batch,rb
20,BBateMi00,Michael Bates,rb
21,BBellKa00,Kahlil Bell,rb
22,BBellWi20,William Bell,rb
23,BBendWe00,Wes Bender,rb
24,BBennBr00,Brandon Bennett,rb
25,BBennSe00,Sean Bennett,rb
26,BBernRo00,Rod Bernstine,rb
27,BBibbKa00,Kapri Bibbs,rb
28,BBienEr00,Eric Bieniemy,rb
29,BBoldBr00,Brandon Bolden,rb
30,BBonnRe00,Reggie Bonnafon,rb
31,BBookLo00,Lorenzo Booker,rb
32,BBoonMi00,Mike Boone,rb
33,BBostJa00,James Bostic,rb
34,BBouiKe20,Kevin Bouie,rb
35,BBoweRJ00,R.J. Bowers,rb
36,BBradFr00,Freddie Bradley,rb
37,BBranJa00,Jamaal Branch,rb
38,BBratJa20,Jason Bratton,rb
39,BBrinCu00,Curtis Brinkley,rb
40,BBrooRe00,Reggie Brooks,rb
41,BBrooTo01,Tony Brooks-James,rb
42,BBrouSt00,Steve Broussard,rb
43,BBrowAa00,Aaron Brown,rb
44,BBrowBr02,Bryce Brown,rb
45,BBrowDe02,Dee Brown,rb
46,BBrowMa02,Mack Brown,rb
47,BBrowMa03,Malcolm Brown ,rb
48,BBuckEl00,Eldra Buckley,rb
49,BBurkRe00,Rex Burkhead ,rb
50,BBurnJo00,Joe Burns,rb
51,BButtMa00,Marion Butts,rb
52,CCadeTr00,Travaris Cadet,rb
53,CCalhBr00,Brian Calhoun,rb
54,CCannTr00,Trenton Cannon,rb
55,CCareKa00,Ka'Deem Carey,rb
56,CCarsTr01,Tra Carson,rb
57,CCartDe00,Dexter Carter ,rb
58,CCartDe01,Delone Carter ,rb
59,CCartRa00,Ran Carthon,rb
60,CCartRo01,Rock Cartwright,rb
61,CCasoAv00,Aveion Cason,rb
62,CChapDo00,Doug Chapman,rb
63,CChoiTa00,Tashard Choice,rb
64,CChriRy20,Ryan Christopherson,rb
65,CClayJo00,John Clay,rb
66,CClayTh00,Thomas Clayton,rb
67,CClemCo00,Corey Clement,rb
68,CClouMi00,Mike Cloud ,rb
69,CCobbCe00,Cedric Cobbs,rb
70,CCobbDa00,David Cobb,rb
71,CCobbPa00,Patrick Cobbs,rb
72,CCobbRe00,Reggie Cobb ,rb
73,CCoboAv00,Avon Cobourne,rb
74,CCoffGl00,Glen Coffee,rb
75,CColeKa00,KaRon Coleman,rb
76,CCoopRa00,Rafael Cooper,rb
77,CCoxxMi00,Michael Cox,rb
78,CCrocJo00,John Crockett,rb
79,CCrooCo00,Corey Croom,rb
80,CCrooLa00,Larry Croom,rb
81,CCullDe00,Derrick Cullors,rb
82,CCulvRo00,Rodney Culver,rb
83,CCunnBe01,Benny Cunningham,rb
84,DDallDe00,DeeJay Dallas,rb
85,DDantWo00,Woodrow Dantzler,rb
86,DDarbKe00,Kenneth Darby,rb
87,DDaveNa00,Najeh Davenport ,rb
