Year,Player,Team,CapHit,CashSpent
"2,026",Ezekiel Elliott,Cowboys,"16,600,000","16,600,000"
"2,025",Alvin Kamara,Saints,"25,000,000","25,000,000"
"2,025",Ezekiel Elliott,Cowboys,"15,400,000","15,400,000"
"2,025",Dalvin Cook,Vikings,"13,500,000","13,500,000"
"2,025",Christian McCaffrey,Panthers,"12,200,000","12,200,000"
"2,024",Christian McCaffrey,Panthers,"16,300,000","12,000,000"
"2,024",Dalvin Cook,Vikings,"15,601,273","12,500,000"
"2,024",Alvin Kamara,Saints,"14,800,000","11,800,000"
"2,024",Joe Mixon,Bengals,"13,133,205","10,383,205"
"2,024",Ezekiel Elliott,Cowboys,"12,600,000","10,000,000"
"2,023",Christian McCaffrey,Panthers,"16,300,000","12,000,000"
"2,023",Derrick Henry,Titans,"15,500,000","12,500,000"
"2,023",Ezekiel Elliott,Cowboys,"15,000,000","10,900,000"
"2,023",Dalvin Cook,Vikings,"14,101,272","11,000,000"
"2,023",Alvin Kamara,Saints,"14,000,000","11,000,000"
"2,023",Joe Mixon,Bengals,"12,850,000","10,100,000"
"2,023",Tarik Cohen,Bears,"7,500,000","5,750,000"
"2,023",Austin Ekeler,Chargers,"7,250,000","5,750,000"
"2,023",Clyde Edwards-Helaire,Chiefs,"3,443,229",0
"2,023",D'Andre Swift,Lions,"2,716,929","1,774,399"
"2,023",Jonathan Taylor,Colts,"2,491,095","1,677,613"
"2,023",Cam Akers,Rams,"1,964,150","1,451,779"
"2,023",J.K. Dobbins,Ravens,"1,823,003","1,391,287"
"2,023",A.J. Dillon,Packers,"1,681,855","1,330,795"
"2,023",Antonio Gibson,Washington,"1,569,476","1,282,633"
"2,023",Ke'Shawn Vaughn,Buccaneers,"1,465,713","1,210,986"
"2,023",Zack Moss,Bills,"1,397,865","1,169,260"
"2,023",Darrynton Evans,Titans,"1,347,116","1,127,700"
"2,023",Joshua Kelley,Chargers,"1,205,086","1,010,000"
"2,023",La'Mical Perine,Jets,"1,196,336","1,010,000"
"2,023","Anthony McFarland, Jr.",Steelers,"1,190,608","1,010,000"
"2,023",Lynn Bowden,Dolphins,"1,189,000","1,189,000"
"2,023",DeeJay Dallas,Seahawks,"1,133,600","1,010,000"
"2,023",Eno Benjamin,Cardinals,"1,035,679","1,010,000"
"2,023",Jason Huntley,Eagles,"1,010,000","1,010,000"
"2,022",Ezekiel Elliott,Cowboys,"16,500,000","12,400,000"
"2,022",Derrick Henry,Titans,"15,000,000","12,000,000"
"2,022",Alvin Kamara,Saints,"14,500,000","11,500,000"
"2,022",Christian McCaffrey,Panthers,"12,900,000","8,600,000"
"2,022",Dalvin Cook,Vikings,"12,001,272","8,900,000"
"2,022",Joe Mixon,Bengals,"11,450,000","8,700,000"
"2,022",Austin Ekeler,Chargers,"6,500,000","5,000,000"
"2,022",Kareem Hunt,Browns,"6,250,000","6,250,000"
"2,022",Tarik Cohen,Bears,"5,750,000","4,000,000"
"2,022",Latavius Murray,Saints,"4,300,000","3,450,000"
"2,022",Josh Jacobs,Raiders,"3,796,990","2,122,281"
"2,022",Clyde Edwards-Helaire,Chiefs,"2,951,339","1,593,780"
"2,022",D'Andre Swift,Lions,"2,328,796","1,386,266"
"2,022",Jonathan Taylor,Colts,"2,135,224","1,321,742"
"2,022",Miles Sanders,Eagles,"1,705,528","1,225,941"
"2,022",Cam Akers,Rams,"1,683,557","1,171,186"
"2,022",J.K. Dobbins,Ravens,"1,562,574","1,130,858"
"2,022",A.J. Dillon,Packers,"1,441,590","1,090,530"
"2,022",Antonio Gibson,Washington,"1,345,265","1,058,422"
"2,022",Darrell Henderson,Rams,"1,333,265","1,060,601"
"2,022",Ke'Shawn Vaughn,Buccaneers,"1,297,091","1,042,364"
"2,022",Zack Moss,Bills,"1,237,355","1,008,750"
"2,022",David Montgomery,Bears,"1,226,545","965,000"
"2,022",Darrynton Evans,Titans,"1,224,416","1,005,000"
"2,022",Devin Singletary,Bills,"1,223,956","965,000"
"2,022",Damien Harris,Patriots,"1,186,534","965,000"
"2,022",Alexander Mattison,Vikings,"1,170,545","965,000"
"2,022",Justice Hill,Ravens,"1,150,414","965,000"
"2,022",Benjamin Snell Jr.,Steelers,"1,140,517","965,000"
"2,022",Tony Pollard,Cowboys,"1,132,582","965,000"
