Year,Team,Adjusted Line yards,,Running Back Yards,,Power Success Rate,,Open Field Yards,,Second Level Yards,,Stuffed Rate,,Adjusted Sack Rate,,Sacks
2020,ARI,30,3.91,19,4.16,16,66%,16,0.74,27,1.08,25,18.60%,8,5.40%,29
2020,ATL,26,4.12,29,3.9,26,57%,26,0.55,30,1.03,16,17.00%,18,6.70%,41
2020,BAL,8,4.59,1,5.21,5,75%,1,1.24,9,1.3,5,14.10%,23,7.50%,32
2020,BUF,15,4.36,11,4.49,17,66%,9,0.87,13,1.26,15,16.90%,5,4.80%,27
2020,CAR,13,4.43,31,3.85,6,73%,32,0.32,19,1.17,13,16.30%,17,6.60%,36
2020,CHI,25,4.16,14,4.39,25,61%,10,0.84,20,1.16,29,19.20%,15,6.20%,36
2020,CIN,31,3.89,27,3.92,24,61%,25,0.56,22,1.13,26,18.70%,24,7.60%,48
2020,CLE,6,4.79,4,4.91,28,56%,4,1.1,1,1.45,24,18.50%,16,6.50%,26
2020,DAL,12,4.48,21,4.09,11,71%,27,0.54,23,1.12,23,18.50%,14,6.10%,44
2020,DEN,28,4.02,12,4.46,3,78%,8,0.87,14,1.26,32,21.30%,19,6.80%,32
2020,DET,19,4.3,22,4.07,14,67%,20,0.62,29,1.06,18,17.30%,21,7.20%,42
2020,GNB,5,4.85,3,5.03,19,66%,5,1.04,5,1.37,1,13.50%,6,5.00%,21
2020,HOU,27,4.02,25,4.04,14,67%,18,0.68,32,0.94,8,15.10%,32,9.50%,50
2020,IND,20,4.23,9,4.6,17,66%,7,0.97,8,1.31,22,18.30%,7,5.20%,21
2020,JAX,11,4.49,13,4.41,7,73%,19,0.68,15,1.22,7,14.90%,25,7.60%,44
2020,KAN,14,4.37,18,4.22,32,51%,30,0.48,7,1.32,20,17.70%,4,4.50%,24
2020,LAC,29,4,28,3.91,31,54%,24,0.57,28,1.07,27,18.90%,12,6.10%,34
2020,LAR,7,4.66,16,4.34,12,69%,15,0.78,17,1.18,30,19.30%,2,4.20%,25
2020,LVR,18,4.32,20,4.1,21,63%,21,0.61,18,1.18,19,17.30%,10,5.50%,28
2020,MIA,24,4.18,26,3.95,13,67%,29,0.5,26,1.09,21,17.90%,20,6.90%,34
2020,MIN,1,5.06,5,4.88,27,57%,11,0.83,3,1.43,6,14.10%,26,7.70%,39
2020,NWE,3,4.93,7,4.82,4,78%,13,0.81,4,1.39,3,13.80%,28,8.00%,37
2020,NOR,4,4.88,8,4.69,2,78%,12,0.82,12,1.28,2,13.60%,13,6.10%,29
2020,NYG,21,4.2,24,4.05,20,66%,22,0.6,24,1.11,14,16.80%,27,7.90%,50
2020,NYJ,16,4.35,30,3.89,22,62%,31,0.33,25,1.09,10,15.20%,29,8.10%,43
2020,PHI,23,4.19,6,4.86,9,73%,2,1.18,11,1.29,12,16.20%,31,9.40%,65
2020,PIT,32,3.78,32,3.82,30,56%,17,0.72,31,1.02,28,18.90%,1,2.70%,14
2020,SEA,10,4.53,15,4.35,22,62%,23,0.58,6,1.33,17,17.00%,30,8.20%,48
2020,SFO,22,4.2,17,4.31,29,56%,14,0.78,10,1.29,31,20.70%,9,5.50%,39
2020,TAM,9,4.55,10,4.57,1,88%,6,0.97,21,1.15,4,13.80%,3,4.30%,22
2020,TEN,2,4.97,2,5.17,10,71%,3,1.14,2,1.44,9,15.20%,11,5.50%,25
2020,WAS,17,4.35,23,4.06,7,73%,28,0.51,16,1.21,11,15.20%,22,7.30%,50
2019,ARI,22,4.12,8,4.61,4,74%,9,0.97,8,1.3,8,17.50%,26,8.40%,50
2019,ATL,24,3.98,28,3.73,16,65%,27,0.52,25,1.08,27,21.30%,13,6.60%,50
2019,BAL,3,4.73,1,4.97,23,61%,11,0.95,2,1.37,2,13.00%,8,6.00%,28
