playerid,year,playername,team,age,pos,g,gs,tgt,rec,catchpercent,yds,yardsperrec,tds,firstdowns,longgain,yardspertarget,recpergame,yardspergame,fumbles
AAbbrJa00,2017,Jared Abbrederis,DET,27,,7,0,7.0,3,42.9%,44,14.7,0,2,25,6.3,0.4,6.3,0.0
AAbbrJa00,2015,Jared Abbrederis,GNB,25,,10,0,16.0,9,56.3%,111,12.3,0,5,32,6.9,0.9,11.1,1.0
AAbduAm00,2020,Ameer Abdullah,MIN,27,,11,0,2.0,2,100.0%,23,11.5,1,1,22,11.5,0.2,2.1,0.0
AAbduAm00,2019,Ameer Abdullah,MIN,26,,16,0,21.0,15,71.4%,88,5.9,1,5,16,4.2,0.9,5.5,1.0
AAbduAm00,2018,Ameer Abdullah,2TM,25,,10,0,4.0,3,75.0%,28,9.3,0,1,12,7.0,0.3,2.8,1.0
AAbduAm00,2017,Ameer Abdullah,DET,24,RB,14,11,35.0,25,71.4%,162,6.5,1,13,22,4.6,1.8,11.6,2.0
AAbduAm00,2016,Ameer Abdullah,DET,23,,2,2,5.0,5,100.0%,57,11.4,1,4,18,11.4,2.5,28.5,0.0
AAbduAm00,2015,Ameer Abdullah,DET,22,RB,16,9,38.0,25,65.8%,183,7.3,1,11,36,4.8,1.6,11.4,5.0
AAbduIs00,2014,Isa Abdul-Quddus,DET,25,,16,4,1.0,1,100.0%,3,3.0,0,0,3,3.0,0.1,0.2,0.0
AAbduKa00,1999,Karim Abdul-Jabbar,2TM,25,,13,9,22.0,17,77.3%,84,4.9,1,0,21,3.8,1.3,6.5,0.0
AAbduKa00,1998,Karim Abdul-Jabbar,MIA,24,RB,15,15,31.0,21,67.7%,102,4.9,0,3,18,3.3,1.4,6.8,2.0
AAbduRa00,2004,Rabih Abdullah,NWE,29,,9,0,2.0,1,50.0%,9,9.0,0,0,9,4.5,0.1,1.0,0.0
AAbduRa00,2003,Rabih Abdullah,CHI,28,,15,0,9.0,8,88.9%,55,6.9,0,3,17,6.1,0.5,3.7,0.0
AAbduRa00,2001,Rabih Abdullah,TAM,26,,16,0,2.0,2,100.0%,26,13.0,0,2,14,13.0,0.1,1.6,0.0
AAbduRa00,2000,Rabih Abdullah,TAM,25,,12,0,2.0,2,100.0%,14,7.0,0,1,11,7.0,0.2,1.2,0.0
AAbduRa00,1999,Rabih Abdullah,TAM,24,,15,1,3.0,2,66.7%,11,5.5,0,0,8,3.7,0.1,0.7,0.0
AAdamCh00,2005,Charlie Adams,DEN,26,,16,2,36.0,21,58.3%,203,9.7,0,9,21,5.6,1.3,12.7,4.0
AAdamDa01,2020,Davante Adams,GNB,28,,9,9,99.0,74,74.7%,908,12.3,11,48,49,9.2,8.2,100.9,1.0
AAdamDa01,2019,Davante Adams,GNB,27,WR,12,12,127.0,83,65.4%,997,12.0,5,54,58,7.9,6.9,83.1,2.0
AAdamDa01,2018,Davante Adams,GNB,26,WR,15,15,169.0,111,65.7%,1386,12.5,13,64,57,8.2,7.4,92.4,0.0
AAdamDa01,2017,Davante Adams,GNB,25,WR,14,14,117.0,74,63.2%,885,12.0,10,46,55,7.6,5.3,63.2,0.0
AAdamDa01,2016,Davante Adams,GNB,24,WR,16,15,121.0,75,62.0%,997,13.3,12,46,66,8.2,4.7,62.3,2.0
AAdamDa01,2015,Davante Adams,GNB,23,WR,13,12,94.0,50,53.2%,483,9.7,1,20,40,5.1,3.8,37.2,0.0
AAdamDa01,2014,Davante Adams,GNB,22,WR,16,11,66.0,38,57.6%,446,11.7,3,23,45,6.8,2.4,27.9,0.0
AAdamJe01,2017,Jerell Adams,NYG,25,,16,1,11.0,8,72.7%,92,11.5,0,5,38,8.4,0.5,5.8,0.0
AAdamJe01,2016,Jerell Adams,NYG,24,,13,2,21.0,16,76.2%,122,7.6,1,8,14,5.8,1.2,9.4,1.0
AAdamJo01,2012,Joe Adams,CAR,23,,9,0,1.0,1,100.0%,7,7.0,0,0,7,7.0,0.1,0.8,4.0
AAdamJo03,2020,Josh Adams,NYJ,24,,3,0,2.0,2,100.0%,14,7.0,0,0,7,7.0,0.7,4.7,0.0
AAdamJo03,2018,Josh Adams,PHI,22,rb,14,5,13.0,7,53.8%,58,8.3,0,3,13,4.5,0.5,4.1,1.0
AAdamKr00,2012,Kris Adams,IND,25,,3,0,8.0,2,25.0%,26,13.0,0,2,13,3.3,0.7,8.7,0.0
AAdamKy00,2012,Kyle Adams,CHI,24,,15,2,8.0,4,50.0%,40,10.0,0,2,17,5.0,0.3,2.7,0.0
AAddaJo00,2011,Joseph Addai,IND,28,RB,12,11,22.0,15,68.2%,93,6.2,0,5,12,4.2,1.3,7.8,1.0
AAddaJo00,2010,Joseph Addai,IND,27,rb,8,7,26.0,19,73.1%,124,6.5,0,5,15,4.8,2.4,15.5,2.0
AAddaJo00,2009,Joseph Addai,IND,26,RB,15,15,63.0,51,81.0%,336,6.6,3,18,25,5.3,3.4,22.4,1.0
AAddaJo00,2008,Joseph Addai,IND,25,RB,12,12,39.0,25,64.1%,206,8.2,2,9,55,5.3,2.1,17.2,1.0
AAddaJo00,2007,Joseph Addai,IND,24,RB,15,15,48.0,41,85.4%,364,8.9,3,16,73,7.6,2.7,24.3,0.0
AAddaJo00,2006,Joseph Addai,IND,23,,16,0,50.0,40,80.0%,325,8.1,1,20,21,6.5,2.5,20.3,2.0
AAdkiJa00,2006,James Adkisson,OAK,26,,2,0,2.0,1,50.0%,9,9.0,0,0,9,4.5,0.5,4.5,0.0
AAghoNe00,2020,Nelson Agholor,LVR,27,,11,8,44.0,29,65.9%,497,17.1,6,23,59,11.3,2.6,45.2,0.0
AAghoNe00,2019,Nelson Agholor,PHI,26,WR,11,10,69.0,39,56.5%,363,9.3,3,17,43,5.3,3.5,33.0,2.0
AAghoNe00,2018,Nelson Agholor,PHI,25,WR,16,16,97.0,64,66.0%,736,11.5,4,31,83,7.6,4.0,46.0,1.0
AAghoNe00,2017,Nelson Agholor,PHI,24,WR,16,10,95.0,62,65.3%,768,12.4,8,35,72,8.1,3.9,48.0,0.0
AAghoNe00,2016,Nelson Agholor,PHI,23,WR,15,14,69.0,36,52.2%,365,10.1,2,15,40,5.3,2.4,24.3,1.0
AAghoNe00,2015,Nelson Agholor,PHI,22,WR,13,12,44.0,23,52.3%,283,12.3,1,11,53,6.4,1.8,21.8,1.0
AAgneJa00,2020,Jamal Agnew,DET,25,,9,1,16.0,9,56.3%,48,5.3,0,2,20,3.0,1.0,5.3,1.0
AAgneJa00,2017,Jamal Agnew,DET,22,,13,0,2.0,2,100.0%,18,9.0,0,1,12,9.0,0.2,1.4,3.0
AAgneRa00,2014,Ray Agnew,CLE,23,RB,12,9,9.0,3,33.3%,15,5.0,0,1,12,1.7,0.3,1.3,0.0
AAhmeSa01,2020,Salvon Ahmed,MIA,22,,3,2,7.0,6,85.7%,36,6.0,0,1,13,5.1,2.0,12.0,0.0
AAikeKa00,2018,Kamar Aiken,PHI,29,,5,1,7.0,6,85.7%,53,8.8,0,2,18,7.6,1.2,10.6,0.0
AAikeKa00,2017,Kamar Aiken,IND,28,wr,15,7,44.0,15,34.1%,133,8.9,0,7,21,3.0,1.0,8.9,0.0
AAikeKa00,2016,Kamar Aiken,BAL,27,wr,16,6,50.0,29,58.0%,328,11.3,1,18,29,6.6,1.8,20.5,0.0
AAikeKa00,2015,Kamar Aiken,BAL,26,WR,16,14,127.0,75,59.1%,944,12.6,5,55,48,7.4,4.7,59.0,1.0
AAikeKa00,2014,Kamar Aiken,BAL,25,,16,0,32.0,24,75.0%,267,11.1,3,15,24,8.3,1.5,16.7,0.0
AAikeSa00,2010,Sam Aiken,CLE,30,,3,0,1.0,1,100.0%,7,7.0,0,0,7,7.0,0.3,2.3,0.0
AAikeSa00,2009,Sam Aiken,NWE,29,wr,14,7,41.0,20,48.8%,326,16.3,2,12,81,8.0,1.4,23.3,0.0
AAikeSa00,2008,Sam Aiken,NWE,28,,14,2,11.0,8,72.7%,101,12.6,0,5,43,9.2,0.6,7.2,0.0
AAikeSa00,2007,Sam Aiken,BUF,27,,12,0,2.0,1,50.0%,10,10.0,0,1,10,5.0,0.1,0.8,0.0
AAikeSa00,2005,Sam Aiken,BUF,25,,16,2,13.0,4,30.8%,57,14.3,0,3,22,4.4,0.3,3.6,0.0
AAikeSa00,2004,Sam Aiken,BUF,24,,16,0,18.0,11,61.1%,148,13.5,0,6,54,8.2,0.7,9.3,0.0
AAikeSa00,2003,Sam Aiken,BUF,23,,5,0,8.0,3,37.5%,35,11.7,0,2,19,4.4,0.6,7.0,0.0
AAiyuBr00,2020,Brandon Aiyuk ,SFO,22,,8,8,56.0,35,62.5%,446,12.7,3,25,35,8.0,4.4,55.8,0.0
AAjayJa00,2018,Jay Ajayi,PHI,25,,4,3,6.0,5,83.3%,20,4.0,0,1,12,3.3,1.3,5.0,1.0
AAjayJa00,2017,Jay Ajayi,2TM,24,,14,8,34.0,24,70.6%,158,6.6,1,0,32,4.6,1.7,11.3,3.0
AAjayJa00,2016,Jay Ajayi,MIA,23,RB,15,12,35.0,27,77.1%,151,5.6,0,8,15,4.3,1.8,10.1,4.0
AAjayJa00,2015,Jay Ajayi,MIA,22,,9,0,11.0,7,63.6%,90,12.9,0,5,20,8.2,0.8,10.0,0.0
AAjirSe00,2015,Seyi Ajirotutu,PHI,28,,13,0,3.0,1,33.3%,4,4.0,0,0,4,1.3,0.1,0.3,0.0
AAjirSe00,2014,Seyi Ajirotutu,SDG,27,,16,1,12.0,4,33.3%,45,11.3,0,4,17,3.8,0.3,2.8,0.0
AAjirSe00,2013,Seyi Ajirotutu,SDG,26,,14,0,4.0,3,75.0%,64,21.3,1,3,26,16.0,0.2,4.6,0.0
AAjirSe00,2012,Seyi Ajirotutu,SDG,25,,3,1,4.0,3,75.0%,45,15.0,0,2,28,11.3,1.0,15.0,0.0
AAjirSe00,2011,Seyi Ajirotutu,CAR,24,,14,0,2.0,1,50.0%,4,4.0,0,1,4,2.0,0.1,0.3,0.0
AAjirSe00,2010,Seyi Ajirotutu,SDG,23,,10,0,23.0,13,56.5%,262,20.2,2,12,55,11.4,1.3,26.2,0.0
AAkerCa00,2020,Cam Akers ,LAR,21,,9,2,3.0,3,100.0%,27,9.0,1,2,19,9.0,0.3,3.0,0.0
AAkinJo00,2020,Jordan Akins,HOU,28,,8,3,28.0,22,78.6%,275,12.5,1,14,26,9.8,2.8,34.4,0.0
AAkinJo00,2019,Jordan Akins,HOU,27,TE,16,9,55.0,36,65.5%,418,11.6,2,21,53,7.6,2.3,26.1,0.0
AAkinJo00,2018,Jordan Akins,HOU,26,te,16,6,25.0,17,68.0%,225,13.2,0,12,28,9.0,1.1,14.1,0.0
AAlexDa00,2012,Danario Alexander,SDG,26,wr,10,6,62.0,37,59.7%,658,17.8,7,29,80,10.6,3.7,65.8,0.0
