,Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Year
0,49ers,432,278,64.4,7.9,3432,20,11.0,93.6,167.0,38.7,47,4,82,44,289.0,1997
1,Bears,595,336,56.5,5.9,3501,14,22.0,66.1,188.0,31.6,28,6,78,43,257.0,1997
2,Bengals,504,302,59.9,7.1,3603,21,9.0,88.3,171.0,33.9,40,8,77,46,287.0,1997
3,Bills,546,293,53.7,5.9,3213,14,25.0,60.8,144.0,26.4,37,9,77,46,338.0,1997
4,Broncos,513,287,55.9,7.2,3704,27,11.0,87.4,172.0,33.5,53,10,78,35,210.0,1997
5,Buccaneers,404,224,55.4,6.5,2638,21,12.0,80.4,134.0,33.2,33,6,59,32,196.0,1997
6,Cardinals,602,317,52.7,6.6,3953,19,22.0,68.6,186.0,30.9,47,10,70,78,495.0,1997
7,Chargers,565,291,51.5,6.2,3475,12,21.0,62.2,161.0,28.5,46,9,72,51,386.0,1997
8,Chiefs,493,281,57.0,6.3,3129,20,10.0,81.1,163.0,33.1,43,5,55,32,236.0,1997
9,Colts,523,317,60.6,6.8,3560,16,17.0,77.6,171.0,32.7,34,7,58,62,418.0,1997
10,Cowboys,553,314,56.8,6.2,3454,19,12.0,77.8,170.0,30.7,36,7,64,39,313.0,1997
11,Dolphins,576,332,57.6,6.8,3945,16,12.0,79.2,199.0,34.5,51,4,55,22,153.0,1997
12,Eagles,587,330,56.2,6.8,4009,22,16.0,78.5,203.0,34.6,46,5,72,64,362.0,1997
13,Falcons,484,273,56.4,7.1,3445,26,11.0,87.2,168.0,34.7,40,9,56,54,372.0,1997
14,Giants,474,249,52.5,5.8,2763,16,12.0,70.9,124.0,26.2,35,7,68,32,238.0,1997
15,Jaguars,504,313,62.1,7.8,3922,20,9.0,92.0,187.0,37.1,60,11,75,40,218.0,1997
16,Jets,564,319,56.6,6.3,3555,20,10.0,79.9,173.0,30.7,44,2,70,48,313.0,1997
17,Lions,540,304,56.3,6.7,3605,19,17.0,75.4,166.0,30.7,45,8,79,41,271.0,1997
18,Oilers,420,220,52.4,6.4,2704,15,13.0,71.6,136.0,32.4,37,5,55,32,199.0,1997
19,Packers,523,309,59.1,7.4,3896,35,16.0,91.9,191.0,36.5,61,9,74,26,191.0,1997
20,Panthers,534,289,54.1,5.9,3156,17,24.0,63.7,170.0,31.8,36,3,59,44,311.0,1997
21,Patriots,532,321,60.3,7.2,3808,31,15.0,89.9,173.0,32.5,49,12,76,30,258.0,1997
22,Raiders,529,294,55.6,7.5,3944,29,10.0,89.9,170.0,32.1,59,10,76,58,430.0,1997
23,Rams,526,271,51.5,6.7,3524,14,15.0,69.9,161.0,30.6,46,12,76,44,326.0,1997
24,Ravens,586,338,57.7,6.7,3929,25,16.0,80.9,176.0,30.0,44,8,92,37,227.0,1997
25,Redskins,547,283,51.7,6.5,3581,22,22.0,69.1,192.0,35.1,45,7,69,33,198.0,1997
26,Saints,458,228,49.8,6.3,2901,13,33.0,49.4,127.0,27.7,39,7,89,50,317.0,1997
27,Seahawks,609,359,58.9,6.9,4187,26,21.0,79.7,207.0,34.0,55,10,61,36,228.0,1997
28,Steelers,466,253,54.3,6.9,3215,22,19.0,74.8,157.0,33.7,41,10,69,20,152.0,1997
29,Vikings,540,319,59.1,6.6,3537,26,16.0,82.3,177.0,32.8,42,7,56,33,224.0,1997
0,49ers,556,347,62.4,8.1,4510,41,15.0,101.2,223.0,40.1,60,13,81,53,254.0,1998
1,Bears,494,284,57.5,6.6,3277,16,13.0,77.5,154.0,31.2,36,8,79,31,224.0,1998
2,Bengals,521,307,58.9,6.8,3545,20,12.0,82.7,148.0,28.4,44,13,76,53,360.0,1998
3,Bills,461,269,58.4,7.9,3621,28,14.0,91.0,176.0,38.2,48,12,84,41,241.0,1998
4,Broncos,491,290,59.1,7.8,3808,32,14.0,93.5,186.0,37.9,48,8,58,25,184.0,1998
5,Buccaneers,449,234,52.1,6.2,2787,21,18.0,70.3,139.0,31.0,29,10,79,28,181.0,1998
6,Cardinals,552,326,59.1,6.8,3768,17,20.0,74.9,179.0,32.4,48,6,57,50,286.0,1998
7,Chargers,566,261,46.1,5.5,3115,11,34.0,44.9,146.0,25.8,33,7,67,37,251.0,1998
8,Chiefs,543,305,56.2,6.4,3472,15,18.0,70.9,153.0,28.2,43,5,80,36,212.0,1998
9,Colts,576,326,56.6,6.5,3739,26,28.0,71.1,190.0,33.0,42,8,78,22,109.0,1998
10,Cowboys,474,279,58.9,7.5,3546,17,8.0,87.2,154.0,32.5,46,13,80,19,110.0,1998
11,Dolphins,546,316,57.9,6.6,3582,23,16.0,79.5,176.0,32.2,46,6,61,24,187.0,1998
12,Eagles,534,282,52.8,5.1,2730,7,18.0,57.7,141.0,26.4,26,3,61,56,317.0,1998
13,Falcons,424,237,55.9,8.8,3744,28,15.0,92.7,175.0,41.3,60,11,78,53,358.0,1998
14,Giants,507,265,52.3,5.6,2822,18,15.0,68.3,129.0,25.4,36,6,87,35,256.0,1998
15,Jaguars,463,269,58.1,7.2,3343,24,12.0,87.1,153.0,33.0,44,11,78,39,231.0,1998
16,Jets,532,318,59.8,7.6,4032,33,13.0,94.0,207.0,38.9,55,8,82,25,196.0,1998
17,Lions,489,274,56.0,6.9,3398,17,13.0,78.2,160.0,32.7,46,7,98,45,268.0,1998
18,Oilers,519,305,58.8,6.7,3482,16,10.0,81.3,171.0,32.9,43,5,55,35,191.0,1998
19,Packers,575,361,62.8,7.5,4340,33,23.0,88.3,210.0,36.5,48,9,84,39,230.0,1998
20,Panthers,507,292,57.6,7.1,3624,25,18.0,81.5,171.0,33.7,44,12,72,54,302.0,1998
21,Patriots,556,295,53.1,7.2,4004,23,17.0,77.4,184.0,33.1,55,17,86,40,344.0,1998
22,Raiders,519,282,54.3,6.8,3534,21,25.0,69.2,156.0,30.1,51,6,75,67,446.0,1998
23,Rams,556,314,56.5,6.1,3381,12,18.0,68.2,164.0,29.5,38,8,80,47,294.0,1998
24,Ravens,477,272,57.0,6.6,3152,16,15.0,75.2,140.0,29.4,36,12,73,41,283.0,1998
25,Redskins,565,304,53.8,6.6,3724,24,14.0,78.2,186.0,32.9,42,7,75,61,399.0,1998
26,Saints,535,278,52.0,6.6,3514,19,19.0,69.8,165.0,30.8,41,9,89,57,376.0,1998
27,Seahawks,480,273,56.9,6.7,3219,21,18.0,76.4,144.0,30.0,33,10,81,34,219.0,1998
28,Steelers,489,274,56.0,5.7,2781,13,20.0,64.3,135.0,27.6,27,5,55,35,229.0,1998
29,Vikings,533,327,61.4,8.4,4492,41,16.0,101.5,210.0,39.4,62,21,67,25,164.0,1998
0,49ers,560,324,57.9,6.3,3526,14,19.0,70.7,172.0,30.7,37,8,62,34,241.0,1999
1,Bears,684,404,59.1,6.4,4352,25,22.0,76.6,203.0,29.7,53,11,80,38,216.0,1999
2,Bengals,548,300,54.7,6.4,3504,18,18.0,71.6,161.0,29.4,32,7,76,49,278.0,1999
3,Bills,513,290,56.5,6.8,3478,21,16.0,78.1,173.0,33.7,44,8,54,27,185.0,1999
4,Broncos,554,319,57.6,6.6,3646,16,18.0,73.6,168.0,30.3,42,7,88,34,227.0,1999
5,Browns,492,271,55.1,6.1,2997,19,15.0,73.5,134.0,27.2,37,6,78,60,385.0,1999
6,Buccaneers,447,268,60.0,6.2,2781,18,16.0,76.5,132.0,29.5,26,5,68,42,303.0,1999
