"Team","Att","Cmp","Cmp","%","Yds/Att","Pass Yds","TD","INT","Rate","1st","1st%","20+","40+","Lng","Sck","SckY"
"49ers","528","312","59.1","6.2","3293","23","14","80.8","137","25.9","42","7","73T","40","241"
"Bears","563","340","60.4","6.5","3677","27","27","75.6","170","30.2","56","6","71","35","204"
"Bengals","477","286","60","6.6","3134","21","13","82.7","159","33.3","36","5","73","29","244"
"Bills","441","256","58","6.3","2789","17","19","71.7","126","28.6","31","6","98T","46","274"
"Broncos","558","341","61.1","6.9","3825","21","13","84.4","186","33.3","43","9","87T","34","198"
"Browns","443","219","49.4","5.1","2255","11","18","55.8","118","26.6","25","4","59T","30","179"
"Buccaneers","524","279","53.2","6","3134","18","29","59.8","148","28.2","40","4","47","33","161"
"Cardinals","594","392","66","7.1","4200","27","18","89.1","215","36.2","49","3","45","26","184"
"Chargers","519","338","65.1","8.7","4506","29","10","103.1","222","42.8","67","13","81T","26","168"
"Chiefs","536","296","55.2","5.9","3183","18","17","70.8","139","25.9","41","9","61","45","261"
"Colts","601","402","66.9","7.7","4605","34","19","95.4","241","40.1","62","8","80T","13","90"
"Cowboys","550","347","63.1","8.2","4483","26","9","97.6","203","36.9","61","17","80T","34","196"
"Dolphins","545","331","60.7","6.2","3396","15","19","73.3","188","34.5","29","4","67","34","226"
"Eagles","553","335","60.6","7.9","4380","27","13","92","182","32.9","65","21","71T","38","291"
"Falcons","570","332","58.2","6.5","3697","26","17","80.4","192","33.7","39","5","90T","27","126"
"Giants","542","338","62.4","7.8","4246","28","14","93.2","194","35.8","62","12","74T","32","227"
"Jaguars","519","315","60.7","6.9","3599","15","10","83.2","170","32.8","44","6","63","44","243"
"Jets","393","210","53.4","6.6","2596","12","21","62","131","33.3","37","8","65T","30","216"
"Lions","585","316","54","5.9","3471","16","32","58.1","168","28.7","39","6","75T","43","303"
"Packers","553","357","64.6","8.1","4492","30","8","101.8","201","36.3","55","17","83T","51","312"
"Panthers","465","264","56.8","6.6","3070","16","20","70.5","152","32.7","39","10","66","33","271"
"Patriots","592","390","65.9","7.7","4540","28","13","95.6","222","37.5","43","12","81T","18","104"
"Raiders","485","255","52.6","5.9","2875","10","18","62","131","27","30","4","86T","49","318"
"Rams","543","312","57.5","5.5","2970","12","21","64","159","29.3","32","2","50","44","284"
"Ravens","510","321","62.9","7.1","3637","21","13","87.4","187","36.7","44","8","72T","36","218"
"Redskins","533","340","63.8","7.1","3797","21","16","85.5","191","35.8","43","10","84","46","307"
"Saints","544","378","69.5","8.3","4490","34","12","106","215","39.5","58","11","75T","20","135"
"Seahawks","609","372","61.1","6.2","3771","20","19","76.7","184","30.2","39","6","53","41","268"
"Steelers","536","351","65.5","8.4","4496","28","14","98.1","210","39.2","64","14","60T","50","348"
"Texans","593","399","67.3","8.1","4803","29","17","96.3","231","39","63","15","72T","25","149"
"Titans","476","271","56.9","6.5","3104","16","15","74.8","154","32.4","32","8","69T","15","73"
"Vikings","553","377","68.2","8","4403","34","7","107.3","220","39.8","55","13","63","34","247"
