,age,attempts,fumbles,g,gs,longgain,playerid,playername,pos,tds,team,yards,yardsperatt,yardspergame,year
9,29.0,13.0,0.0,9.0,0.0,5.0,AAbduRa00,Rabih Abdullah,,1.0,NWE,13.0,1.0,1.4,2004.0
14,26.0,5.0,4.0,16.0,2.0,13.0,AAdamCh00,Charlie Adams,,0.0,DEN,14.0,2.8,0.9,2005.0
25,25.0,2.0,0.0,6.0,0.0,2.0,AAgneJa00,Jamal Agnew,,0.0,DET,4.0,2.0,0.7,2020.0
49,24.0,16.0,0.0,16.0,0.0,20.0,AAlleAn01,Anthony Allen,,1.0,BAL,61.0,3.8,3.8,2012.0
50,23.0,27.0,0.0,15.0,0.0,46.0,AAlleAr00,Armando Allen,,1.0,CHI,124.0,4.6,8.3,2012.0
52,27.0,10.0,0.0,3.0,3.0,11.0,AAlleBr00,Brandon Allen,,0.0,DEN,39.0,3.9,13.0,2019.0
99,24.0,18.0,0.0,16.0,0.0,17.0,AAndeDa00,Damien Anderson ,,0.0,ARI,68.0,3.8,4.3,2003.0
141,23.0,10.0,0.0,12.0,0.0,15.0,AArchDr00,Dri Archer,,0.0,PIT,40.0,4.0,3.3,2014.0
142,26.0,6.0,3.0,16.0,0.0,20.0,AArchMi00,Mike Archie,,1.0,TEN,24.0,4.0,1.5,1998.0
147,23.0,35.0,0.0,16.0,1.0,16.0,AArmsRy00,Ryquell Armstead,,0.0,JAX,108.0,3.1,6.8,2019.0
152,28.0,19.0,0.0,9.0,0.0,15.0,AArtiCa00,Cameron Artis-Payne,,1.0,CAR,69.0,3.6,7.7,2018.0
160,25.0,12.0,0.0,7.0,0.0,4.0,AAskaJo00,Joe Aska,,0.0,OAK,10.0,0.8,1.4,1997.0
166,24.0,7.0,1.0,16.0,0.0,11.0,AAtkiGe01,George Atkinson ,,1.0,CLE,34.0,4.9,2.1,2016.0
179,23.0,5.0,0.0,7.0,0.0,11.0,AAverJo00,John Avery,,0.0,2TM,21.0,4.2,3.0,1999.0
186,28.0,36.0,1.0,12.0,1.0,17.0,BBailJo00,Johnny Bailey,,2.0,STL,182.0,5.1,15.2,1995.0
187,22.0,43.0,0.0,3.0,2.0,20.0,BBakeEd01,Edwin Baker,,2.0,CLE,171.0,4.0,57.0,2013.0
188,28.0,23.0,1.0,7.0,2.0,9.0,BBaldRa00,Randy Baldwin,,0.0,CAR,61.0,2.7,8.7,1995.0
192,27.0,42.0,1.0,15.0,0.0,22.0,BBallLa00,Lance Ball,,1.0,DEN,158.0,3.8,10.5,2012.0
196,24.0,55.0,1.0,5.0,3.0,23.0,BBallMo00,Montee Ball,,1.0,DEN,172.0,3.1,34.4,2014.0
200,25.0,7.0,4.0,12.0,0.0,21.0,BBankBr00,Brandon Banks,,0.0,WAS,36.0,5.1,3.0,2012.0
201,25.0,23.0,0.0,8.0,1.0,21.0,BBankTa00,Tavian Banks,,0.0,JAX,82.0,3.6,10.3,1999.0
210,26.0,21.0,0.0,15.0,0.0,16.0,BBanyJo00,Joe Banyard,,0.0,MIN,88.0,4.2,5.9,2014.0
244,29.0,4.0,4.0,14.0,0.0,12.0,BBarnKe00,Kenjon Barner,,0.0,ATL,28.0,7.0,2.0,2019.0
250,24.0,15.0,1.0,13.0,0.0,20.0,BBarnMa00,Marlon Barnes,,0.0,CHI,81.0,5.4,6.2,2000.0
251,22.0,62.0,1.0,13.0,1.0,46.0,BBasnMi00,Michael Basnight,,0.0,CIN,308.0,5.0,23.7,1999.0
252,25.0,25.0,0.0,12.0,0.0,10.0,BBatcBa00,Baron Batch,,1.0,PIT,49.0,2.0,4.1,2012.0
267,31.0,5.0,4.0,16.0,0.0,8.0,BBateMi00,Michael Bates,,0.0,CAR,13.0,2.6,0.8,2000.0
287,30.0,10.0,3.0,4.0,3.0,12.0,BBeckJo00,John Beck,,2.0,WAS,43.0,4.3,10.8,2011.0
296,27.0,4.0,0.0,16.0,2.0,22.0,BBellJo02,Josh Bellamy,,0.0,CHI,37.0,9.3,2.3,2016.0
297,26.0,29.0,1.0,7.0,0.0,18.0,BBellKa00,Kahlil Bell,,0.0,2TM,76.0,2.6,10.9,2012.0
317,24.0,4.0,0.0,16.0,0.0,5.0,BBellWi20,William Bell,,0.0,WAS,13.0,3.3,0.8,1995.0
318,27.0,5.0,1.0,11.0,0.0,6.0,BBendWe00,Wes Bender,,0.0,NOR,9.0,1.8,0.8,1997.0
319,29.0,7.0,0.0,12.0,3.0,19.0,BBenjTr00,Travis Benjamin,,0.0,LAC,41.0,5.9,3.4,2018.0
324,31.0,6.0,0.0,8.0,0.0,11.0,BBennBr00,Brandon Bennett,,1.0,CAR,17.0,2.8,2.1,2004.0
350,24.0,29.0,0.0,9.0,2.0,40.0,BBennSe00,Sean Bennett,,1.0,NYG,126.0,4.3,14.0,1999.0
367,30.0,23.0,0.0,3.0,3.0,18.0,BBernRo00,Rod Bernstine,,1.0,DEN,76.0,3.3,25.3,1995.0
406,25.0,21.0,1.0,12.0,0.0,15.0,BBibbKa00,Kapri Bibbs,,3.0,2TM,103.0,4.9,8.6,2018.0
409,23.0,19.0,0.0,4.0,0.0,9.0,BBickEr00,Erik Bickerstaff,,1.0,DAL,56.0,2.9,14.0,2003.0
410,30.0,12.0,0.0,16.0,0.0,28.0,BBienEr00,Eric Bieniemy,,1.0,PHI,75.0,6.3,4.7,1999.0
415,24.0,7.0,0.0,8.0,0.0,2.0,BBishMi00,Michael Bishop,,0.0,NWE,-1.0,-0.1,-0.1,2000.0
462,29.0,15.0,0.0,15.0,2.0,21.0,BBoldBr00,Brandon Bolden,,3.0,NWE,68.0,4.5,4.5,2019.0
479,24.0,12.0,0.0,2.0,0.0,22.0,BBonnRe00,Reggie Bonnafon,,0.0,CAR,69.0,5.8,34.5,2020.0
488,27.0,13.0,3.0,15.0,0.0,25.0,BBookLo00,Lorenzo Booker,,0.0,MIN,52.0,4.0,3.5,2011.0
492,25.0,3.0,0.0,6.0,0.0,12.0,BBoonMi00,Mike Boone,,0.0,MIN,18.0,6.0,3.0,2020.0
503,27.0,5.0,2.0,9.0,0.0,5.0,BBostJa00,James Bostic,,0.0,PHI,19.0,3.8,2.1,1999.0
504,26.0,11.0,0.0,5.0,0.0,6.0,BBouiKe20,Kevin Bouie,,0.0,ARI,26.0,2.4,5.2,1997.0
