,playerid,playername,pos
9,AAbduRa00,Rabih Abdullah,
14,AAdamCh00,Charlie Adams,
25,AAgneJa00,Jamal Agnew,
49,AAlleAn01,Anthony Allen,
50,AAlleAr00,Armando Allen,
52,AAlleBr00,Brandon Allen,
99,AAndeDa00,Damien Anderson ,
141,AArchDr00,Dri Archer,
142,AArchMi00,Mike Archie,
147,AArmsRy00,Ryquell Armstead,
152,AArtiCa00,Cameron Artis-Payne,
160,AAskaJo00,Joe Aska,
166,AAtkiGe01,George Atkinson ,
179,AAverJo00,John Avery,
186,BBailJo00,Johnny Bailey,
187,BBakeEd01,Edwin Baker,
188,BBaldRa00,Randy Baldwin,
192,BBallLa00,Lance Ball,
196,BBallMo00,Montee Ball,
200,BBankBr00,Brandon Banks,
201,BBankTa00,Tavian Banks,
210,BBanyJo00,Joe Banyard,
244,BBarnKe00,Kenjon Barner,
250,BBarnMa00,Marlon Barnes,
251,BBasnMi00,Michael Basnight,
252,BBatcBa00,Baron Batch,
267,BBateMi00,Michael Bates,
287,BBeckJo00,John Beck,
296,BBellJo02,Josh Bellamy,
297,BBellKa00,Kahlil Bell,
317,BBellWi20,William Bell,
318,BBendWe00,Wes Bender,
319,BBenjTr00,Travis Benjamin,
324,BBennBr00,Brandon Bennett,
350,BBennSe00,Sean Bennett,
367,BBernRo00,Rod Bernstine,
406,BBibbKa00,Kapri Bibbs,
409,BBickEr00,Erik Bickerstaff,
410,BBienEr00,Eric Bieniemy,
415,BBishMi00,Michael Bishop,
462,BBoldBr00,Brandon Bolden,
479,BBonnRe00,Reggie Bonnafon,
488,BBookLo00,Lorenzo Booker,
492,BBoonMi00,Mike Boone,
503,BBostJa00,James Bostic,
504,BBouiKe20,Kevin Bouie,
505,BBoumTo00,Todd Bouman,
508,BBoweRJ00,R.J. Bowers,
513,BBoykTr00,Trevone Boykin,
514,BBoylTi00,Tim Boyle,
525,BBradAl00,Allen Bradford,
526,BBradFr00,Freddie Bradley,
554,BBranJa00,Jamaal Branch,
555,BBratJa20,Jason Bratton,
584,BBrinCu00,Curtis Brinkley,
595,BBrohJe00,Jeff Brohm,
605,BBrooRe00,Reggie Brooks,
608,BBrooTo01,Tony Brooks-James,
609,BBrouSt00,Steve Broussard,
613,BBrowAa00,Aaron Brown,
620,BBrowBr02,Bryce Brown,
634,BBrowDe01,Derek Brown,
636,BBrowDe02,Dee Brown,
650,BBrowMa02,Mack Brown,
652,BBrowMa03,Malcolm Brown ,
710,BBuckEl00,Eldra Buckley,
720,BBurkRe00,Rex Burkhead ,
730,BBurnJo00,Joe Burns,
733,BBurrHe00,Henry Burris,
753,BButtMa00,Marion Butts,
764,CCadeTr00,Travaris Cadet,
768,CCaldAn00,Andre Caldwell,
771,CCalhBr00,Brian Calhoun,
782,CCampMi02,Michael Campanaro,
788,CCannTr00,Trenton Cannon,
790,CCareKa00,Ka'Deem Carey,
813,CCarsTr01,Tra Carson,
814,CCartDe00,Dexter Carter ,
816,CCartDe01,Delone Carter ,
828,CCartRa00,Ran Carthon,
829,CCartRo01,Rock Cartwright,
835,CCartTi00,Tim Carter ,
844,CCasoAv00,Aveion Cason,
860,CCastTi20,Tim Castille,
884,CChanRo20,Robert Chancey,
887,CChapDo00,Doug Chapman,
901,CChatAn00,Antonio Chatman,
907,CChoiTa00,Tashard Choice,
920,CChriRy20,Ryan Christopherson,
928,CClayJo00,John Clay,
935,CClayTh00,Thomas Clayton,
937,CClemCo00,Corey Clement,
945,CClouMi00,Mike Cloud ,
952,CCobbCe00,Cedric Cobbs,
953,CCobbDa00,David Cobb,
954,CCobbPa00,Patrick Cobbs,
964,CCobbRe00,Reggie Cobb ,
966,CCoboAv00,Avon Cobourne,
967,CCoffGl00,Glen Coffee,
972,CColeDe00,Derrick Coleman,
